Año,Marca,Enlace Anuncio Superbowl,Enlace Youtube,Divertido,Muestra Producto Rapido,Patriótico,Celebridad,Peligro,Animales,Usa Sexo,Duración,Costo Estimado,Vistas Youtube,Me Gusta Youtube,Espectadores TV,Vistas Youtube (millones),Me Gusta Youtube (miles)
2013,Hyundai,https://superbowl-ads.com/video-2013-hyundai-genesis-super-bowl-xlvii-commercial/,https://www.youtube.com/watch?v=mOatp4Xi7IU,False,True,False,False,False,False,False,30,2.95,1540,6,108.69,0.0,0.01
2014,Coca-Cola,https://superbowl-ads.com/2014-coca-going-all-the-way/,https://www.youtube.com/watch?v=nO-8ZY7p95o,True,False,False,False,False,False,False,60,5.9,4120,16,112.19,0.0,0.02
2014,Doritos,https://superbowl-ads.com/2014-doritos-cowboy-kid/,https://www.youtube.com/watch?v=1X_M47SQF6s,True,True,False,False,True,True,False,30,2.95,12153,40,112.19,0.01,0.04
2014,Budweiser,https://superbowl-ads.com/2014-budweiser-a-heros-welcome/,https://www.youtube.com/watch?v=XxfxB0O9Uuk,False,False,True,False,False,True,False,60,5.9,14050,0,112.19,0.01,0.0
2014,Bud Light,https://superbowl-ads.com/2014-bud-light-up-for-whatever-2/,https://www.youtube.com/watch?v=PnOW5qj_R6A,False,True,False,True,False,True,True,60,5.9,143981,482,112.19,0.14,0.48
2014,Bud Light,https://superbowl-ads.com/2014-bud-light-up-for-whatever-1/,,True,True,False,True,False,False,True,30,2.95,0,0,112.19,0.0,0.0
2014,Toyota,https://superbowl-ads.com/2014-toyota-highlander-no-room-for-boring/,https://www.youtube.com/watch?v=b01P9PaaoLk,True,True,False,True,False,True,False,30,2.95,32466,187,112.19,0.03,0.19
2014,Kia,https://superbowl-ads.com/2014-kia-the-truth/,https://www.youtube.com/watch?v=FTNMYoKHwvU,False,False,False,True,True,False,False,90,8.85,32467,537,112.19,0.03,0.54
2014,Hyundai,https://superbowl-ads.com/2014-hyundai-elantra-nice/,https://www.youtube.com/watch?v=2jMWybAKjWw,True,True,False,True,True,False,True,30,2.95,2474,28,112.19,0.0,0.03
2014,Doritos,https://superbowl-ads.com/2014-doritos-time-machine/,https://www.youtube.com/watch?v=Y-P0Hs0ADJY,True,True,False,False,False,True,False,30,2.95,8087637,19000,112.19,8.09,19.0
2014,Coca-Cola,https://superbowl-ads.com/2014-coca-cola-its-beautiful/,https://www.youtube.com/watch?v=D4BC8zUfNhU,False,True,True,False,False,True,False,60,5.9,95865,452,112.19,0.1,0.45
2014,Hyundai,https://superbowl-ads.com/2014-hyundai-genesis-dads-sixth-sense/,https://www.youtube.com/watch?v=CyK63f0I1P0,True,False,False,False,True,False,True,30,2.95,35566,218,112.19,0.04,0.22
2014,Bud Light,https://superbowl-ads.com/2014-bud-light-cool-twist/,https://www.youtube.com/watch?v=_l1nWWiut0I,False,True,False,False,False,False,False,30,2.95,10150,36,112.19,0.01,0.04
2014,Budweiser,https://superbowl-ads.com/2014-budweiser-puppy-love/,https://www.youtube.com/watch?v=gUGGepL5gGU,False,False,True,False,False,True,False,60,5.9,81650,8028,232.0,0.08,8.03
2014,NFL,https://superbowl-ads.com/nfl-now/,,False,True,False,False,False,False,False,10,0.98,0,0,112.19,0.0,0.0
2015,Doritos,https://superbowl-ads.com/2015-doritos-middle-seat/,https://www.youtube.com/watch?v=2JqRXLQYF9o,True,False,False,False,False,False,True,30,4.25,2335970,2800,114.44,2.34,2.8
2015,Budweiser,https://superbowl-ads.com/2015-budweiser-clydesdale-beer-run/,https://www.youtube.com/watch?v=5tso0er4EUI,True,True,False,False,True,True,False,30,4.25,8194,15,114.44,0.01,0.02
2015,Budweiser,https://superbowl-ads.com/budweiser-2015-super-bowl-xlix-ad-brewed-the-hard-way/,https://www.youtube.com/watch?v=7_EfXuGev24,False,True,True,False,False,True,False,60,8.5,0,0,114.44,0.0,0.0
2015,Doritos,https://superbowl-ads.com/doritos-2015-super-bowl-xlix-ad-when-pigs-fly/,https://www.youtube.com/watch?v=YQo0TfuueaY,True,True,True,False,False,True,False,30,4.25,1292999,2100,114.44,1.29,2.1
2015,Kia,https://superbowl-ads.com/2015-kia-sorento-the-perfect-getaway-with-pierce-brosnan/,https://www.youtube.com/watch?v=nayeYTmEdYw,True,True,False,True,True,True,True,75,10.62,81479,75,114.44,0.08,0.08
